unit_id,Mean_slope,tract_id
TRACT_00599,1.257456,TRACT_00599
TRACT_00600,2.031406,TRACT_00600
TRACT_00601,0.846354,TRACT_00601
TRACT_00602,1.270089,TRACT_00602
TRACT_00603,0.657631,TRACT_00603
TRACT_00604,1.091156,TRACT_00604
TRACT_00605,0.481739,TRACT_00605
TRACT_00606,1.809582,TRACT_00606
TRACT_00607,0.626752,TRACT_00607
TRACT_00608,1.603047,TRACT_00608
TRACT_00609,1.269489,TRACT_00609
TRACT_00610,1.889465,TRACT_00610
TRACT_00611,1.026864,TRACT_00611
TRACT_00612,2.77499,TRACT_00612
TRACT_00613,1.49902,TRACT_00613
TRACT_00614,3.287245,TRACT_00614
TRACT_00615,3.995721,TRACT_00615
TRACT_00616,0.98377,TRACT_00616
TRACT_00617,3.223022,TRACT_00617
TRACT_00618,1.566753,TRACT_00618
TRACT_00619,1.622518,TRACT_00619
TRACT_00620,1.896492,TRACT_00620
TRACT_00621,1.587742,TRACT_00621
TRACT_00622,1.006382,TRACT_00622
TRACT_00623,1.224991,TRACT_00623
TRACT_00624,1.518046,TRACT_00624
TRACT_00625,0.890237,TRACT_00625
TRACT_00626,1.092002,TRACT_00626
TRACT_00627,0.672095,TRACT_00627
TRACT_00628,1.164972,TRACT_00628
TRACT_00629,3.194741,TRACT_00629
TRACT_00630,0.814079,TRACT_00630
TRACT_00631,2.884852,TRACT_00631
TRACT_00632,0.421558,TRACT_00632
TRACT_00633,2.750778,TRACT_00633
TRACT_00634,0.876636,TRACT_00634
TRACT_00635,3.611175,TRACT_00635
TRACT_00636,1.34705,TRACT_00636
TRACT_00637,3.268908,TRACT_00637
TRACT_00638,1.621801,TRACT_00638
TRACT_00639,3.614804,TRACT_00639
TRACT_00640,2.96413,TRACT_00640
TRACT_00641,2.310004,TRACT_00641
TRACT_00642,0.867772,TRACT_00642
TRACT_00643,1.147107,TRACT_00643
TRACT_00644,3.003295,TRACT_00644
TRACT_00645,3.040729,TRACT_00645
TRACT_00646,3.553924,TRACT_00646
TRACT_00647,4.681529,TRACT_00647
TRACT_00648,4.677527,TRACT_00648
TRACT_00649,5.111493,TRACT_00649
TRACT_00650,5.580411,TRACT_00650
TRACT_00651,0.220353,TRACT_00651
TRACT_00652,1.509292,TRACT_00652
TRACT_00653,0.417814,TRACT_00653
TRACT_00654,5.697165,TRACT_00654
TRACT_00655,0.569573,TRACT_00655
TRACT_00656,7.620164,TRACT_00656
TRACT_00657,7.130033,TRACT_00657
TRACT_00658,2.655945,TRACT_00658
TRACT_00659,0.412761,TRACT_00659
TRACT_00660,0.0,TRACT_00660
TRACT_00661,1.362231,TRACT_00661
